"Run Parameters"
"Parameter","Value"
22233,"11/5/2020 2:10:36 PM",1.29805E-10,6.025981E-11,3.049002E-12,4.300102E-13,3.932216E-07,9.959564E-13,3.024046E-13,1.218334E-13,42.57296,19.76378,0.007672711,0.005018346,0.002021802
22234,"11/5/2020 2:10:39 PM",1.299323E-10,6.027229E-11,3.049717E-12,4.31109E-13,3.932216E-07,9.843519E-13,2.997521E-13,1.261008E-13,42.6047,19.76324,0.007575885,0.004973299,0.002092186
22235,"11/5/2020 2:10:43 PM",1.30044E-10,6.02448E-11,3.065859E-12,4.311426E-13,3.932216E-07,9.908931E-13,3.015093E-13,1.222226E-13,42.41682,19.65022,0.007619677,0.005004735,0.002028766
22236,"11/5/2020 2:10:46 PM",1.302597E-10,6.018395E-11,3.071041E-12,4.338762E-13,3.932216E-07,9.764987E-13,3.005067E-13,1.173232E-13,42.41549,19.59725,0.007496553,0.004993138,0.00194941
22237,"11/5/2020 2:10:50 PM",1.302454E-10,6.040049E-11,3.071976E-12,4.321597E-13,3.932216E-07,9.847033E-13,3.00806E-13,1.235359E-13,42.39791,19.66177,0.007560371,0.004980192,0.00204528
22238,"11/5/2020 2:10:53 PM",1.301642E-10,6.029909E-11,3.061736E-12,4.277505E-13,3.913837E-07,9.868822E-13,3.083626E-13,1.202621E-13,42.51321,19.69441,0.007581824,0.005113885,0.001994427
22239,"11/5/2020 2:10:57 PM",1.304489E-10,6.035224E-11,3.065828E-12,4.343363E-13,3.932216E-07,9.827946E-13,2.971633E-13,1.210518E-13,42.54934,19.68546,0.00753394,0.004923815,0.002005755
22240,"11/5/2020 2:11:00 PM",1.303083E-10,6.02625E-11,3.071209E-12,4.306147E-13,3.932216E-07,9.814305E-13,3.054969E-13,1.200085E-13,42.42898,19.62175,0.007531606,0.005069436,0.00199143
22241,"11/5/2020 2:11:04 PM",1.302418E-10,6.01164E-11,3.074176E-12,4.27236E-13,3.913837E-07,9.813085E-13,2.947445E-13,1.192641E-13,42.36641,19.55529,0.007534513,0.004902896,0.001983886
22242,"11/5/2020 2:11:07 PM",1.30119E-10,6.013284E-11,3.046032E-12,4.287625E-13,3.932216E-07,9.848976E-13,3.024613E-13,1.21548E-13,42.71756,19.74137,0.007569204,0.005029885,0.002021325
22243,"11/5/2020 2:11:11 PM",1.303926E-10,6.03808E-11,3.075702E-12,4.328406E-13,3.932216E-07,9.833962E-13,2.971431E-13,1.256787E-13,42.39441,19.63155,0.007541812,0.004921151,0.002081435
22244,"11/5/2020 2:11:14 PM",1.301846E-10,6.03266E-11,3.06809E-12,4.240285E-13,3.932216E-07,9.755333E-13,3.052423E-13,1.134465E-13,42.43182,19.66259,0.00749346,0.005059829,0.001880538
22245,"11/5/2020 2:11:18 PM",1.301303E-10,6.03683E-11,3.058064E-12,4.360152E-13,3.932216E-07,9.797154E-13,3.064676E-13,1.217135E-13,42.55315,19.7407,0.007528729,0.005076631,0.002016182
22246,"11/5/2020 2:11:21 PM",1.30091E-10,6.030737E-11,3.068539E-12,4.28654E-13,3.913837E-07,9.845498E-13,2.997141E-13,1.190188E-13,42.39508,19.65345,0.007568164,0.004969775,0.001973536
22247,"11/5/2020 2:11:25 PM",1.303257E-10,6.025772E-11,3.082031E-12,4.289101E-13,3.932216E-07,9.872877E-13,3.003666E-13,1.232359E-13,42.28565,19.5513,0.007575542,0.004984699,0.002045147
22248,"11/5/2020 2:11:28 PM",1.302734E-10,6.043949E-11,3.075791E-12,4.287242E-13,3.932216E-07,9.880447E-13,2.990819E-13,1.261791E-13,42.35445,19.65007,0.007584391,0.004948451,0.002087693
22249,"11/5/2020 2:11:32 PM",1.302985E-10,6.036209E-11,3.063264E-12,4.273422E-13,3.932216E-07,9.866681E-13,2.949316E-13,1.232627E-13,42.53582,19.70515,0.00757237,0.00488604,0.002042056
22250,"11/5/2020 2:11:35 PM",1.303586E-10,6.041159E-11,3.061904E-12,4.281433E-13,3.932216E-07,9.915432E-13,3.083222E-13,1.181999E-13,42.57436,19.73008,0.007606274,0.005103693,0.001956576
22251,"11/5/2020 2:11:39 PM",1.30466E-10,6.021591E-11,3.061964E-12,4.238309E-13,3.932216E-07,9.830488E-13,2.962599E-13,1.207252E-13,42.60859,19.66578,0.007534905,0.004919961,0.002004872
22252,"11/5/2020 2:11:42 PM",1.287181E-10,5.894844E-11,2.993485E-12,4.225696E-13,3.752216E-07,9.333168E-13,2.767639E-13,1.148667E-13,42.99943,19.69225,0.007250858,0.004695017,0.001948595
22253,"11/5/2020 2:11:46 PM",1.169149E-10,5.23567E-11,2.702116E-12,3.953662E-13,3.513968E-07,8.58552E-13,2.639346E-13,1.158107E-13,43.2679,19.37619,0.007343395,0.005041085,0.002211956
22254,"11/5/2020 2:11:49 PM",1.129425E-10,5.167022E-11,2.657839E-12,3.932984E-13,3.547057E-07,8.758436E-13,2.761836E-13,1.170187E-13,42.49413,19.44069,0.007754771,0.005345121,0.002264722
22255,"11/5/2020 2:11:53 PM",1.169796E-10,5.43479E-11,2.772181E-12,4.104321E-13,3.66533E-07,9.110432E-13,2.859254E-13,1.188546E-13,42.19769,19.60475,0.00778805,0.005261019,0.00218692
22256,"11/5/2020 2:11:56 PM",1.217609E-10,5.660608E-11,2.884402E-12,4.107471E-13,3.752216E-07,9.363594E-13,2.896902E-13,1.183668E-13,42.21355,19.6249,0.007690151,0.005117651,0.002091062
22257,"11/5/2020 2:12:00 PM",1.245123E-10,5.780169E-11,2.928648E-12,4.179362E-13,3.787544E-07,9.538493E-13,2.927746E-13,1.166445E-13,42.51528,19.73665,0.007660685,0.005065157,0.002018012
22258,"11/5/2020 2:12:03 PM",1.250279E-10,5.7818E-11,2.944875E-12,4.16237E-13,3.787544E-07,9.409838E-13,2.913813E-13,1.172115E-13,42.45609,19.63343,0.007526193,0.00503963,0.00202725
22259,"11/5/2020 2:12:07 PM",1.242574E-10,5.721304E-11,2.928202E-12,4.150849E-13,3.769841E-07,9.381471E-13,2.891135E-13,1.195577E-13,42.43472,19.53862,0.007550028,0.005053281,0.002089694
22260,"11/5/2020 2:12:10 PM",1.234556E-10,5.678516E-11,2.886228E-12,4.140224E-13,3.752216E-07,9.29511E-13,2.895958E-13,1.184187E-13,42.77402,19.67452,0.007529113,0.005099851,0.002085382
22261,"11/5/2020 2:12:14 PM",1.223615E-10,5.626284E-11,2.861869E-12,4.044171E-13,3.734675E-07,9.339118E-13,2.83125E-13,1.196142E-13,42.7558,19.65947,0.007632399,0.005032184,0.002125989
22262,"11/5/2020 2:12:17 PM",1.218776E-10,5.604913E-11,2.85531E-12,4.062111E-13,3.69984E-07,9.171897E-13,2.856577E-13,1.177912E-13,42.68456,19.62979,0.007525497,0.005096559,0.00210157
22263,"11/5/2020 2:12:21 PM",1.213002E-10,5.57866E-11,2.846653E-12,4.104505E-13,3.717214E-07,9.244694E-13,2.851308E-13,1.197647E-13,42.61153,19.59726,0.007621333,0.005111097,0.002146837
22264,"11/5/2020 2:12:24 PM",1.209349E-10,5.582336E-11,2.820559E-12,4.083668E-13,3.69984E-07,9.195946E-13,2.817391E-13,1.165514E-13,42.87622,19.79159,0.007604044,0.005046976,0.00208786
22265,"11/5/2020 2:12:28 PM",1.208177E-10,5.560315E-11,2.839818E-12,4.077052E-13,3.69984E-07,9.18706E-13,2.765904E-13,1.200104E-13,42.54417,19.57983,0.007604067,0.004974366,0.002158338
22266,"11/5/2020 2:12:31 PM",1.207563E-10,5.556234E-11,2.815404E-12,4.052618E-13,3.69984E-07,9.197408E-13,2.800932E-13,1.164436E-13,42.89129,19.73512,0.007616502,0.005041062,0.00209573
22267,"11/5/2020 2:12:35 PM",1.203236E-10,5.543532E-11,2.82159E-12,4.053328E-13,3.69984E-07,9.179131E-13,2.799285E-13,1.147442E-13,42.64389,19.64684,0.007628706,0.005049641,0.002069875
22268,"11/5/2020 2:12:38 PM",1.202158E-10,5.517531E-11,2.802875E-12,3.95349E-13,3.682543E-07,9.061981E-13,2.790844E-13,1.207524E-13,42.89016,19.68525,0.007538097,0.00505814,0.002188522
22269,"11/5/2020 2:12:42 PM",1.202018E-10,5.527148E-11,2.829026E-12,3.983539E-13,3.682543E-07,9.182608E-13,2.81909E-13,1.189058E-13,42.48877,19.53728,0.007639326,0.005100443,0.002151306
22270,"11/5/2020 2:12:45 PM",1.204532E-10,5.530073E-11,2.831204E-12,3.996613E-13,3.69984E-07,9.085034E-13,2.866453E-13,1.123666E-13,42.54488,19.53258,0.007542374,0.005183391,0.002031919
22271,"11/5/2020 2:12:49 PM",1.203818E-10,5.532026E-11,2.809389E-12,4.011022E-13,3.682543E-07,9.164788E-13,2.810328E-13,1.204322E-13,42.84982,19.69121,0.0076131,0.005080108,0.002177001
22272,"11/5/2020 2:12:52 PM",1.205557E-10,5.558097E-11,2.801322E-12,4.065373E-13,3.682543E-07,9.129106E-13,2.78271E-13,1.124585E-13,43.0353,19.84098,0.007572519,0.005006588,0.002023327
22273,"11/5/2020 2:12:56 PM",1.207581E-10,5.537234E-11,2.809075E-12,4.065638E-13,3.682543E-07,9.157889E-13,2.781587E-13,1.1997E-13,42.98857,19.71194,0.007583662,0.005023423,0.002166606
22274,"11/5/2020 2:12:59 PM",1.205583E-10,5.539071E-11,2.831141E-12,4.046454E-13,3.682543E-07,9.163629E-13,2.804376E-13,1.182661E-13,42.58292,19.5648,0.007600997,0.0050629,0.002135125
22275,"11/5/2020 2:13:03 PM",1.203946E-10,5.540025E-11,2.822517E-12,4.043758E-13,3.682543E-07,9.110398E-13,2.746094E-13,1.181398E-13,42.65506,19.62796,0.007567113,0.004956826,0.002132477
22276,"11/5/2020 2:13:06 PM",1.200754E-10,5.520512E-11,2.801494E-12,4.056465E-13,3.682543E-07,9.17971E-13,2.79037E-13,1.196133E-13,42.86119,19.7056,0.007644958,0.005054549,0.002166707
22277,"11/5/2020 2:13:10 PM",1.203546E-10,5.536574E-11,2.809501E-12,3.990319E-13,3.682543E-07,9.155864E-13,2.820492E-13,1.159526E-13,42.83842,19.70661,0.007607408,0.00509429,0.002094302
22278,"11/5/2020 2:13:13 PM",1.20196E-10,5.539971E-11,2.829853E-12,4.02456E-13,3.682543E-07,9.161812E-13,2.807033E-13,1.180894E-13,42.47428,19.57689,0.007622395,0.005066873,0.002131588
22279,"11/5/2020 2:13:17 PM",1.204133E-10,5.543598E-11,2.823923E-12,3.949802E-13,3.682543E-07,9.241943E-13,2.785949E-13,1.172708E-13,42.64043,19.63084,0.007675186,0.005025526,0.002115428
22280,"11/5/2020 2:13:21 PM",1.203891E-10,5.534626E-11,2.812965E-12,3.978529E-13,3.682543E-07,9.089299E-13,2.83419E-13,1.133189E-13,42.79794,19.67542,0.007549934,0.005120834,0.002047454
22281,"11/5/2020 2:13:24 PM",1.203319E-10,5.535894E-11,2.805737E-12,4.02477E-13,3.69984E-07,9.180805E-13,2.813531E-13,1.204447E-13,42.88779,19.73062,0.007629571,0.005082343,0.002175705
22282,"11/5/2020 2:13:28 PM",1.202765E-10,5.523178E-11,2.819553E-12,3.995357E-13,3.682543E-07,9.13866E-13,2.83984E-13,1.151239E-13,42.658,19.58884,0.007598044,0.005141677,0.002084378
22283,"11/5/2020 2:13:31 PM",1.20082E-10,5.526168E-11,2.818965E-12,3.990866E-13,3.682543E-07,9.17195E-13,2.844678E-13,1.159623E-13,42.59792,19.60354,0.00763807,0.005147649,0.002098422
22284,"11/5/2020 2:13:35 PM",1.20191E-10,5.528719E-11,2.811081E-12,4.023727E-13,3.682543E-07,9.17727E-13,2.768928E-13,1.191093E-13,42.75616,19.66759,0.00763557,0.005008264,0.002154374
22285,"11/5/2020 2:13:38 PM",1.20174E-10,5.539873E-11,2.808711E-12,4.056006E-13,3.682543E-07,9.147691E-13,2.822984E-13,1.183515E-13,42.78618,19.7239,0.007612039,0.005095756,0.002136359
22286,"11/5/2020 2:13:42 PM",1.204298E-10,5.536042E-11,2.825314E-12,4.007372E-13,3.682543E-07,9.20755E-13,2.791738E-13,1.172812E-13,42.62529,19.59443,0.007645573,0.005042841,0.002118503
22287,"11/5/2020 2:13:45 PM",1.201889E-10,5.54088E-11,2.824501E-12,4.106553E-13,3.682543E-07,9.119015E-13,2.801214E-13,1.182817E-13,42.55228,19.6172,0.007587234,0.005055541,0.002134709
22288,"11/5/2020 2:13:49 PM",1.202884E-10,5.540786E-11,2.825639E-12,4.020719E-13,3.682543E-07,9.141091E-13,2.83382E-13,1.110166E-13,42.57033,19.60897,0.007599314,0.005114472,0.002003626
22289,"11/5/2020 2:13:52 PM",1.202924E-10,5.530243E-11,2.813945E-12,4.053586E-13,3.682543E-07,9.249637E-13,2.773319E-13,1.176261E-13,42.74868,19.65299,0.007689293,0.005014823,0.00212696
22290,"11/5/2020 2:13:56 PM",1.202707E-10,5.527996E-11,2.812312E-12,4.095432E-13,3.69984E-07,9.128492E-13,2.881513E-13,1.184905E-13,42.76578,19.65641,0.007589953,0.005212582,0.002143462
22291,"11/5/2020 2:13:59 PM",1.202275E-10,5.524034E-11,2.829649E-12,3.931265E-13,3.682543E-07,9.152798E-13,2.765348E-13,1.168121E-13,42.48847,19.52198,0.007612902,0.00500603,0.002114615
22292,"11/5/2020 2:14:03 PM",1.202878E-10,5.537185E-11,2.818621E-12,4.114026E-13,3.682543E-07,9.138198E-13,2.834233E-13,1.148715E-13,42.67613,19.64502,0.007596944,0.005118546,0.002074547
22293,"11/5/2020 2:14:06 PM",1.206519E-10,5.554886E-11,2.816437E-12,4.103014E-13,3.682543E-07,9.169121E-13,2.854738E-13,1.228363E-13,42.83849,19.7231,0.007599649,0.005139147,0.002211319
22294,"11/5/2020 2:14:10 PM",1.205116E-10,5.538332E-11,2.829026E-12,4.092747E-13,3.682543E-07,9.228274E-13,2.79744E-13,1.166909E-13,42.59826,19.57682,0.007657583,0.005051052,0.002106968
22295,"11/5/2020 2:14:13 PM",1.205632E-10,5.544242E-11,2.829643E-12,4.0412E-13,3.682543E-07,9.157063E-13,2.822584E-13,1.169161E-13,42.60721,19.59344,0.00759524,0.005091019,0.002108784
22296,"11/5/2020 2:14:17 PM",1.204032E-10,5.537826E-11,2.808175E-12,3.993981E-13,3.682543E-07,9.208488E-13,2.807719E-13,1.137233E-13,42.87597,19.72037,0.007648041,0.005070074,0.002053573
22297,"11/5/2020 2:14:20 PM",1.204148E-10,5.538084E-11,2.813453E-12,4.035317E-13,3.682543E-07,9.111738E-13,2.812783E-13,1.159434E-13,42.79966,19.68429,0.007566956,0.005078982,0.002093565
22298,"11/5/2020 2:14:24 PM",1.202475E-10,5.529801E-11,2.799524E-12,4.082865E-13,3.682543E-07,9.273592E-13,2.812289E-13,1.141154E-13,42.95282,19.75265,0.00771209,0.005085696,0.002063645
22299,"11/5/2020 2:14:27 PM",1.203122E-10,5.532131E-11,2.822998E-12,4.074712E-13,3.682543E-07,9.155989E-13,2.825451E-13,1.177118E-13,42.61857,19.59665,0.007610194,0.005107346,0.002127784
22300,"11/5/2020 2:14:31 PM",1.201874E-10,5.53667E-11,2.815963E-12,4.084891E-13,3.682543E-07,9.02045E-13,2.781946E-13,1.180183E-13,42.68076,19.66173,0.007505319,0.005024583,0.002131575
22301,"11/5/2020 2:14:34 PM",1.202612E-10,5.529756E-11,2.821358E-12,4.048981E-13,3.682543E-07,9.089337E-13,2.735551E-13,1.19306E-13,42.6253,19.59962,0.007557995,0.004946966,0.002157528
22302,"11/5/2020 2:14:38 PM",1.200998E-10,5.524664E-11,2.824109E-12,4.030101E-13,3.682543E-07,9.081404E-13,2.844732E-13,1.176391E-13,42.52663,19.5625,0.007561546,0.00514915,0.002129345
22303,"11/5/2020 2:14:41 PM",1.199539E-10,5.506605E-11,2.821213E-12,4.072962E-13,3.682543E-07,9.10945E-13,2.799007E-13,1.185591E-13,42.51855,19.51857,0.007594126,0.005082999,0.002153035
22304,"11/5/2020 2:14:45 PM",1.200094E-10,5.511756E-11,2.793359E-12,4.021529E-13,3.682543E-07,9.127061E-13,2.806358E-13,1.178474E-13,42.96242,19.73165,0.007605285,0.005091586,0.002138109
22305,"11/5/2020 2:14:48 PM",1.199497E-10,5.517686E-11,2.828971E-12,4.109821E-13,3.682543E-07,9.107738E-13,2.837602E-13,1.187065E-13,42.40046,19.50422,0.007592966,0.005142739,0.002151382
22306,"11/5/2020 2:14:52 PM",1.201175E-10,5.524888E-11,2.810564E-12,4.032035E-13,3.682543E-07,9.003421E-13,2.765127E-13,1.174389E-13,42.73787,19.65758,0.007495511,0.005004856,0.002125635
22307,"11/5/2020 2:14:55 PM",1.200033E-10,5.530605E-11,2.8103E-12,4.069971E-13,3.682543E-07,9.15078E-13,2.83646E-13,1.184263E-13,42.70126,19.67977,0.007625438,0.005128662,0.002141291
22308,"11/5/2020 2:14:59 PM",1.199456E-10,5.519628E-11,2.820864E-12,4.015811E-13,3.682543E-07,9.116864E-13,2.874741E-13,1.179731E-13,42.52088,19.56715,0.00760083,0.005208215,0.002137338
22309,"11/5/2020 2:15:02 PM",1.199939E-10,5.531109E-11,2.812682E-12,3.988923E-13,3.69984E-07,9.123887E-13,2.798184E-13,1.125613E-13,42.66173,19.66489,0.007603627,0.005058992,0.002035059
22310,"11/5/2020 2:15:06 PM",1.202731E-10,5.517008E-11,2.813415E-12,4.067055E-13,3.682543E-07,9.063957E-13,2.791858E-13,1.172134E-13,42.74986,19.60965,0.007536145,0.005060457,0.002124584
22311,"11/5/2020 2:15:09 PM",1.200103E-10,5.518429E-11,2.819247E-12,4.049513E-13,3.682543E-07,9.071851E-13,2.817345E-13,1.167485E-13,42.56822,19.57413,0.007559226,0.005105339,0.002115611
22312,"11/5/2020 2:15:13 PM",1.201178E-10,5.50801E-11,2.808488E-12,4.038002E-13,3.682543E-07,9.156817E-13,2.798815E-13,1.181254E-13,42.76955,19.61202,0.0076232,0.005081353,0.002144612
22313,"11/5/2020 2:15:16 PM",1.202051E-10,5.521687E-11,2.838912E-12,4.040246E-13,3.682543E-07,9.132157E-13,2.86856E-13,1.116515E-13,42.34198,19.45001,0.007597144,0.005195079,0.002022055
22314,"11/5/2020 2:15:20 PM",1.205509E-10,5.548484E-11,2.825899E-12,4.044011E-13,3.682543E-07,9.126952E-13,2.837223E-13,1.187306E-13,42.6593,19.6344,0.007571037,0.00511351,0.002139874
22315,"11/5/2020 2:15:23 PM",1.206959E-10,5.551514E-11,2.821237E-12,4.045326E-13,3.682543E-07,9.15329E-13,2.812053E-13,1.169075E-13,42.78118,19.67759,0.007583765,0.00506538,0.002105868
